my,site_no,q_mmd,pairname,paircode,site_id,max_swe
1980,9032100,NA,fraser,2,838,706.1
1981,9032100,NA,fraser,2,838,248.9
1982,9032100,NA,fraser,2,838,571.5
1983,9032100,NA,fraser,2,838,561.3
1984,9032100,0.070368954,fraser,2,838,696
1985,9032100,0.380638421,fraser,2,838,393.7
1986,9032100,0.385907757,fraser,2,838,591.8
1987,9032100,0.285176773,fraser,2,838,406.4
1988,9032100,0.252542721,fraser,2,838,510.5
1989,9032100,0.236184231,fraser,2,838,449.6
1990,9032100,0.27597321,fraser,2,838,612.1
1991,9032100,0.304082776,fraser,2,838,396.2
1992,9032100,0.28655317,fraser,2,838,360.7
1993,9032100,0.25873572,fraser,2,838,591.8
1994,9032100,0.253416294,fraser,2,838,525.8
1995,9032100,0.295022038,fraser,2,838,632.5
1996,9032100,0.4438057,fraser,2,838,883.9
1997,9032100,0.322002092,fraser,2,838,774.7
1998,9032100,0.316763426,fraser,2,838,492.8
1999,9032100,0.447045158,fraser,2,838,563.9
2000,9032100,0.333487442,fraser,2,838,416.6
2001,9032100,0.353112252,fraser,2,838,408.9
2002,9032100,0.236499054,fraser,2,838,231.1
2003,9032100,0.31492285800000003,fraser,2,838,546.1
2004,9032100,NA,fraser,2,838,429.3
2005,9032100,0.447187032,fraser,2,838,452.1
2006,9032100,0.347388862,fraser,2,838,469.9
2007,9032100,0.371229309,fraser,2,838,586.7
2008,9032100,0.308079317,fraser,2,838,462.3
2009,9032100,0.27318033,fraser,2,838,490.2
2010,9032100,0.329290872,fraser,2,838,447
2011,9032100,0.270501326,fraser,2,838,746.8
2012,9032100,NA,fraser,2,838,317.5
2013,9032100,0.46669948,fraser,2,838,497.8
2014,9032100,0.573121348,fraser,2,838,721.4
2015,9032100,0.316424972,fraser,2,838,553.7
2016,9032100,0.324262514,fraser,2,838,548.6
2017,9032100,0.271564589,fraser,2,838,553.7
2018,9032100,0.255758488,fraser,2,838,469.9
2019,9032100,0.301150563,fraser,2,838,513.1
2020,9032100,0.232106055,fraser,2,838,563.9
2021,9032100,0.318159425,fraser,2,838,508
