site_no,site_id,pairname,lag0,lag1,lag2,lag3,lag4,lag5,lag123,paircode,stationtype,stationcode,stationname,dec_lat_va,dec_long_va,km^2,elev_m
06614800,551,joewright,0.01506483857006744,0.19285102285602587,0.11849583118458792,0.12029459485626084,-0.0908207320765224,0.4293349741708409,0.15492338254066468,1,USGS,6614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO",40.49609409,-105.8650119,3.98858169,3166.872
07083000,369,malta,0.05418930785928749,0.11305694187852472,-0.07372215694253464,0.05327437433646328,0.0877562107191471,-0.0864423879092237,0.02557281199112866,13,USGS,7083000,"HALFMOON CREEK NEAR MALTA, CO",39.17221259,-106.3891926,60.864720592896,2996.184
08246500,431,conejos,0.083503701262192,0.23448041071610415,-0.0616691485866812,0.21643814678945347,-0.19410267930144556,-0.6116610305063207,0.185403597264954,11,USGS,8246500,"CONEJOS RIVER NEAR MOGOTE, CO.",37.05390016,-106.1875269,730.376647114752,2521.820712
09032100,838,fraser,0.4042490699056462,0.12465410633579264,-0.3293413438835874,0.7572623000998101,-0.3830754606446481,-0.14578642076908563,0.07667357818021706,2,USGS,9032100,"CABIN CREEK NEAR FRASER, CO.",39.9858203,-105.7450064,12.58734222,2913.888
09034900,335,jonespass,0.03687185647480819,-0.35180076458162013,-0.2620773449554037,0.5228117112711156,-0.1619710055657669,0.8433864596824838,-0.2900740953219205,3,USGS,9034900,"BOBTAIL CREEK NEAR JONES PASS, CO",39.76026447,-105.9064014,14.50393342,3179.064
09066300,842,vail,-0.3192145959538881,0.5080025490264674,0.41896677144173705,0.38353995999580814,-0.31057461460078517,0.3780285913510844,0.4511113145808431,10,USGS,9066300,"MIDDLE CREEK NEAR MINTURN, CO.",39.6458193,-106.3822512,15.43632913760256,2499.36
09073300,542,aspen,-0.11768654871803728,0.4480300704074288,0.46811160287694664,0.16470225626082827,0.4555183925239007,-0.11699180932607986,0.5336135622967715,12,USGS,9073300,"ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.",39.14109959,-106.7742039,196.3210987634688,2474.976
09081600,618,crystalredstone,0.24908591614428563,-0.3077743332691071,0.5192530474661822,-0.326203312149259,0.49153882233228047,-0.16227365362406504,0.2521257198613368,9,USGS,9081600,"CRYSTAL RIVER ABV AVALANCHE CRK, NEAR REDSTONE, CO",39.23263889,-107.2275,432.52801442611195,2104.644
09107000,680,taylorriver,-0.34384798382976217,0.2820103599390674,0.14005023916514836,0.2552642814958802,0.3499217707204409,0.16745353869977952,0.20407961791351875,8,USGS,9107000,"TAYLOR RIVER AT TAYLOR PARK, CO.",38.86027127,-106.5666966,331.518478123008,2846.832
09112200,380,crestedbutte,0.3209850043085312,0.24104315828203232,0.580924875088855,-0.08425629024674676,0.5862470194094981,-0.1768926046446908,0.6852035752172494,7,USGS,9112200,"EAST RIVER BELOW CEMENT CREEK NR CRESTED BUTTE, CO",38.7841599,-106.8708736,619.0071583703041,2572.512
09165000,586,dolores,-0.3397541699504889,0.31533440836794296,0.4121588839396431,0.649599650434936,0.561455126270446,0.06054652767998812,0.3903676020985116,5,USGS,9165000,"DOLORES RIVER BELOW RICO, CO",37.638889,-108.059722,274.538739695616,2567.0256
09238900,457,steamboat,0.03866863093751357,0.5949279184073866,-0.3045733424902469,0.00363123046581757,0.12762558095465318,-0.5459281660950457,0.13085117293659168,6,USGS,9238900,"FISH CR AT UPPER STA NR STEAMBOAT SPRINGS, CO",40.4749775,-106.7869926,66.3036956246016,2179.32
